p	1.0	1.0	23.0	400.0	209.02	954.26
d	2.0	1.0	16.75	120.0	178.04	489.36
t	3.0	1.0	10.67	53.33	141.73	320.50
^{3}He	3.0	2.0	26.5	183.33	224.31	613.89
alpha	4.0	2.0	19.75	112.5	192.87	471.51
^{6}Li	6.0	3.0	25.0	116.67	217.50	481.09
^{7}Li	7.0	3.0	22.57	85.71	206.51	409.10
^{12}C	12.0	6.0	35.83	120.0	260.81	487.75
^{40}Ar	40.0	18.0	60.8	107.5	341.81	459.99
