p	1.0	1.0	255.0	3000.0	737.25	3824.87
d	2.0	1.0	70.0	1200.0	369.04	1921.13
t	3.0	1.0	32.67	633.33	249.48	1259.80
^{3}He	3.0	2.0	122.33	1766.67	493.97	2535.50
alpha	4.0	2.0	71.25	1200.0	371.30	1917.40
^{6}Li	6.0	3.0	72.5	1166.67	375.00	1881.35
^{7}Li	7.0	3.0	54.86	928.57	324.68	1611.12
^{12}C	12.0	6.0	75.83	1166.67	383.39	1879.89
^{40}Ar	40.0	18.0	73.25	1025.0	376.39	1719.86
